CustomerID,Frequency,Monetary,Recency
12347,7,23.681318681318682,1
12348,4,57.97548387096774,74
12349,1,24.076027397260273,18
12350,1,19.670588235294115,309
12352,8,29.482823529411764,35
12353,1,22.25,203
12354,1,18.610344827586207,231
12355,1,35.33846153846154,213
12356,3,47.65135593220339,22
12357,1,47.38679389312977,32
12358,2,61.47684210526315,1
12359,4,25.755224489795918,57
12360,3,20.63612403100775,51
12361,1,18.990000000000002,286
12362,10,19.647481203007516,2
12363,2,24.0,109
12364,4,15.448235294117646,7
12365,2,29.153636363636362,290
12367,1,15.354545454545455,3
12370,4,21.33698795180723,50
12371,2,29.96761904761905,44
12372,3,24.962307692307693,71
12373,1,26.042857142857144,310
12374,1,22.513030303030305,24
12375,2,26.91176470588235,10
12377,2,21.144415584415583,314
12378,1,18.30420091324201,129
12379,2,21.306,81
12380,4,26.200096153846154,21
12381,5,21.21045977011494,4
12383,5,18.69252525252525,184
12384,2,21.676666666666666,28
12386,2,40.19,337
12388,6,27.8066,15
12390,1,17.1825,79
12391,1,4.72752688172043,21
12393,4,24.728125000000002,71
12394,2,47.12888888888889,63
12395,12,19.350192307692307,18
12397,2,19.126190476190477,35
12398,1,19.24305882352941,45
12399,4,18.790677966101697,118
12401,1,16.86,302
12402,1,20.509090909090908,322
12403,1,85.53999999999999,49
12405,1,31.67388888888889,148
12406,2,32.52666666666667,21
12407,5,22.183376623376624,49
12408,5,27.51,32
12409,3,101.58412844036697,78
12410,2,26.666538461538458,308
12412,3,20.112786885245903,74
12413,3,19.95,66
12414,3,31.244999999999997,216
12415,21,174.95032212885152,23
12417,9,19.005729166666665,2
12418,1,19.664117647058823,112
12420,1,20.70310344827586,63
12421,4,17.93422222222222,15
12422,3,20.604102564102565,95
12423,8,14.87448,0
12424,2,58.69866666666667,162
12425,1,21.58888888888889,77
12426,1,19.424333333333333,194
12427,3,26.638709677419353,21
12428,9,27.062789115646257,25
12429,4,38.66391752577319,8
12430,1,23.30909090909091,42
12431,15,27.43568376068376,35
12432,5,46.845555555555556,42
12433,7,31.847309523809525,0
12434,2,16.122799999999998,84
12435,2,217.49694444444447,79
12436,1,31.813125,99
12437,18,24.88145728643216,1
12438,2,29.66173469387755,13
12441,1,15.77727272727273,366
12442,1,14.338333333333333,2
12444,5,28.440113636363638,20
12445,1,33.35,21
12446,1,17.584385964912283,57
12447,1,18.326538461538462,242
12448,1,20.429545454545455,43
12449,4,21.294712041884818,21
12450,2,24.735,155
12451,5,25.524067796610172,10
12452,2,19.571363636363635,16
12453,1,16.443953488372095,133
12454,1,235.22266666666667,55
12455,6,27.409555555555556,72
12456,3,25.44832,43
12457,7,38.11661290322581,65
12458,2,24.931578947368422,70
12461,2,23.62514285714286,93
12462,2,19.186935483870965,18
12463,4,16.202168674698793,52
12464,8,41.79482758620689,9
12465,2,15.79127659574468,16
12468,2,19.19842105263158,187
12471,30,43.11252723311547,1
12472,7,19.386755162241887,31
12473,5,23.52125748502994,28
12474,18,17.355663507109004,16
12475,1,20.093888888888888,53
12476,11,29.255021459227468,15
12477,6,44.065799999999996,22
12478,1,18.91638888888889,3
12479,1,17.006451612903227,10
12480,4,21.309285714285714,27
12481,10,25.8325,22
12483,8,33.133066666666664,16
12484,6,13.199183673469387,32
12488,3,23.612000000000002,9
12489,1,22.328666666666667,335
